Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (New Malden),"148 High Street, New Malden, New Malden, KT3 4EP",New Malden,KT3 4EP,51.399894,-0.2552225
Greggs (West Wimbledon),"a3, Northbound, 325A Robin Hood Way, West Wimbledon, London, SW20 0AB",New Malden,SW20 0AB,51.4162348,-0.2512736
Greggs (Harlesden),"Acton Lane, Harlesden, London, NW10 7GF",North Acton,NW10 7GF,51.53009,-0.26824
Greggs (Canary Wharf),"1, North Greenwich Underground Station, Millennium Way, Canary Wharf, London, SE10 0PH",North Greenwich,SE10 0PH,51.5000894,0.0035895
Greggs (Greenford),"Ruislip Road, Greenford, Greenford, UB6 9RP",Northolt,UB6 9RP,51.53237,-0.37103
Greggs (Norwood),"89 High Street, Norwood, London, SE25 6EA",Norwood Junction,SE25 6EA,51.3984295,-0.0760809
Greggs (Southgate),"197 Bramley Road, Southgate, London, N14 4XA",Oakwood,N14 4XA,51.6488411,-0.1292439
Greggs (Orpington),"238 High Street, Orpington, Orpington, BR6 0LS",Orpington,BR6 0LS,51.3763007,0.0992031
Greggs (Town Centre),"270 Heston Road, Town Centre, Hounslow, TW5 0RG",Osterley,TW5 0RG,51.4883539,-0.3714627
Greggs (Lambeth),"238 Kennington Lane, Lambeth, London, SE11 5RD",Oval,SE11 5RD,51.4872723,-0.116091
Greggs (Paddington),"10a, West End Quay, South Wharf Road, Paddington, London, W2 1PE",Paddington,W2 1PE,51.51785,-0.17441
Greggs (Palmers Green),"308 Green Lanes, Palmers Green, London, N13 5TT",Palmers Green,N13 5TT,51.6193797,-0.1068029
Greggs (Palmers Green),"243 North Circular Road, Palmers Green, London, N13 5JF",Palmers Green,N13 5JF,51.61511,-0.10068
Greggs (Fulham),"702C Fulham Road, Fulham, London, SW6 5SA",Parsons Green,SW6 5SA,51.4748373,-0.2066582
Greggs (Peckham),"8, Aylesham Centre, Rye Lane, Peckham, London, SE15 5EW",Peckham Rye,SE15 5EW,51.4727601,-0.0691229
Greggs (Soho),"5 Upper James Street, Soho, London, W1F 9DG",Piccadilly Circus,W1F 9DG,51.51216,-0.13734
Greggs (Pimlico),"111 Lupus Street, Pimlico, London, SW1V 3EN",Pimlico,SW1V 3EN,51.4876548,-0.1414702
Greggs (Plaistow),"353 Barking Road, Plaistow, London, E13 8EE",Plaistow,E13 8EE,51.5219449,0.0212602
Greggs (Plumstead),"6 Lakedale Road, Plumstead, London, SE18 1PP",Plumstead,SE18 1PP,51.4868134,0.0906746
Greggs (Putney),"145 Putney High Street, Putney, London, SW15 1SU",Putney,SW15 1SU,51.4620823,-0.2162145
Greggs (Raynes Park),"36 Coombe Lane, Raynes Park, London, SW20 0LA",Raynes Park,SW20 0LA,51.4095982,-0.2307539
Greggs (Richmond),"35 The Quadrant, Richmond, Richmond Upon Thames, TW9 1DN",Richmond,TW9 1DN,51.4622356,-0.3025974
Greggs (Collier Row),"40 Collier Row Road, Collier Row, Romford, RM5 3PA",Romford,RM5 3PA,51.5988868,0.1609218
Greggs (Town Centre),"57 South Street, Town Centre, Romford, RM1 1NL",Romford,RM1 1NL,51.5765689,0.1824004
Greggs (Town Centre),"1-3 Quadrant Arcade, Town Centre, Romford, RM1 3ED",Romford,RM1 3ED,51.5782194,0.1812079
Greggs (Town Centre),"7B Western Road, Town Centre, Romford, RM1 3LD",Romford,RM1 3LD,51.5768991,0.1830813
Greggs (Shepherd's Bush),"68 Uxbridge Road, Shepherd's Bush, London, W12 8LP",Shepherd's Bush (Central),W12 8LP,51.5045599,-0.2196765
